ATS1m,SM1_B(m),SM1_B€,SM1_B(i),HyWi_X,EE_X,BID,CID,MPC01,MWC01,IVDM,SpAD_A,SpPos_A,HyWi_B€,ATS1s,WiA_B(p),WiA_B(v),VE2_B(s),VE2_B€,SpMaxA_A,RT
0.595378342,0.541009464,0.541776143,0.549530761,0.489285714,0.544021739,0.522441652,0.631741821,0.653061224,0.653061224,0.609360374,0.395883265,0.395864662,0.636524041,0.463151588,0.427927928,0.38368984,0.38512035,0.332733813,0.408629442,0.50696056
0.59401903,0.559411146,0.559642669,0.561522419,0.482142857,0.549456522,0.512268103,0.603448276,0.601823708,0.601823708,0.591575663,0.317825086,0.317763158,0.600352889,0.478729778,0.333333333,0.308823529,0.310722101,0.282374101,0.350253807,0.35614849
0.637063888,0.611461619,0.611665791,0.614181439,0.557142857,0.610869565,0.570915619,0.656498674,0.653061224,0.653061224,0.648361934,0.39813901,0.398120301,0.662108513,0.559017376,0.291291291,0.268716578,0.273522976,0.23381295,0.294416244,0.41705336
0.603081106,0.559411146,0.559642669,0.561522419,0.51,0.557608696,0.510472771,0.608311229,0.601823708,0.601823708,0.608424337,0.353306076,0.353289474,0.577856198,0.496105452,0.310810811,0.290106952,0.308533917,0.339928058,0.327411168,0.42575406
0.362936112,0.337539432,0.337887546,0.344108446,0.279285714,0.3375,0.301017355,0.398320071,0.397742076,0.397742076,0.390015601,0.162789605,0.162781955,0.399205999,0.239065309,0.630630631,0.577540107,0.538293217,0.507194245,0.609137056,0.14733179
0.571363842,0.522082019,0.522858644,0.537539103,0.51,0.557608696,0.510472771,0.608311229,0.601823708,0.601823708,0.608424337,0.353306076,0.353289474,0.549183944,0.393648892,0.357357357,0.311497326,0.389496718,0.341726619,0.327411168,0.4837587
0.623923879,0.577812829,0.578560168,0.592805005,0.572142857,0.614673913,0.568521843,0.66091954,0.653061224,0.653061224,0.663026521,0.405470182,0.405451128,0.600352889,0.455961654,0.297297297,0.25802139,0.347921225,0.305755396,0.266497462,0.53712297
0.670593566,0.627760252,0.628481345,0.642335766,0.63,0.666847826,0.621783363,0.707780725,0.699088146,0.699088146,0.711700468,0.472437615,0.472462406,0.646228496,0.511683643,0.247747748,0.213903743,0.310722101,0.273381295,0.218274112,0.58584687
0.713185319,0.673501577,0.674198634,0.687695516,0.683571429,0.714130435,0.671454219,0.750221043,0.740338689,0.740338689,0.755694228,0.525964566,0.52593985,0.687692986,0.563211504,0.205705706,0.176470588,0.280087527,0.246402878,0.177664975,0.63051044
0.752152243,0.715562566,0.71623752,0.729405631,0.733571429,0.757608696,0.716935966,0.789124668,0.778115502,0.778115502,0.795631825,0.591757131,0.591729323,0.725628584,0.610545237,0.16966967,0.144385027,0.251641138,0.224820144,0.14213198,0.7175174
0.78794744,0.75446898,0.755123489,0.767987487,0.78,0.797826087,0.760023938,0.8244916,0.812852801,0.812852801,0.832449298,0.646176982,0.646146617,0.760476401,0.654284002,0.13963964,0.117647059,0.227571116,0.20323741,0.111675127,0.34860789
0.852288174,0.824921136,0.825538623,0.837851929,0.864285714,0.870108696,0.83722322,0.888152078,0.874945723,0.874945723,0.898283931,0.766295409,0.766259398,0.823114248,0.733373277,0.088588589,0.072192513,0.188183807,0.169064748,0.063451777,0.42227378
0.752605347,0.715562566,0.715712034,0.714285714,0.683571429,0.714130435,0.671454219,0.750221043,0.740338689,0.740338689,0.755694228,0.525964566,0.52593985,0.71901191,0.666267226,0.168168168,0.159090909,0.168490153,0.248201439,0.177664975,0.58178654
