O%,AAC,IC0,MLOGP,BLTA96,BLTD48,BLTF96,Me,Mor31s,SM1_Dz(p),SpMin1_Bh(m),Psi_i_A,Psi_e_A,BIC0,CATS2D_00_LL,CATS2D_01_LL,SM1_Dz(v),SIC0,SM1_Dz(Z),SIC0,SM1_Dz(Z),RF
0.787878788,0.640462428,0.640462428,0.198888448,0.801587302,0.800835655,0.802180685,0.514925373,0.296067238,0.418250951,0.232342007,0.684751336,0.684751336,0.669333333,0.066666667,0,0.519639935,0.785046729,0.416238438,0.785046729,0.416238438,0.151515152
0.722943723,0.428901734,0.428901734,0.07357417,0.925925926,0.926183844,0.926791277,0.425373134,0.284173803,0.625475285,0,1,1,1,0,0,0.725040917,1,0.229188078,1,0.229188078,0.166666667
0.164502165,0.270520231,0.270520231,0.902342199,0.097883598,0.097493036,0.098130841,0.119402985,0.839042182,0.418250951,0.897769517,0.159884916,0.159884916,0.082666667,1,1,0.519639935,0.099688474,0.416238438,0.099688474,0.416238438,0.54040404
0,0.120231214,0.120231214,0.612544661,0.387566138,0.38718663,0.387850467,0.059701493,0.561211545,1,0.894052045,0.132346897,0.132346897,0.136,0.6,0.642857143,1,0.190031153,0,0.190031153,0,1
0.722943723,0.668208092,0.668208092,0.244673812,0.755291005,0.756267409,0.755451713,0.492537313,0.344116714,0.418250951,0.460966543,0.817509248,0.817509248,0.613333333,0.2,0.142857143,0.519639935,0.760124611,0.416238438,0.760124611,0.416238438,0.353535354
0.272727273,0.366473988,0.366473988,0.656742093,0.343915344,0.344011142,0.34423676,0.186567164,0.543292103,0.418250951,0.836431227,0.269214961,0.269214961,0.202666667,0.533333333,0.5,0.519639935,0.239875389,0.416238438,0.239875389,0.416238438,0.590909091
0.229437229,0.330635838,0.330635838,0.372105333,0.628306878,0.628133705,0.627725857,0.156716418,0.52378687,0.625475285,0.743494424,0.383477189,0.383477189,0.296,0.333333333,0.214285714,0.725040917,0.348909657,0.229188078,0.348909657,0.229188078,0.601010101
0.272727273,0.705202312,0.705202312,0.207489745,0.792328042,0.792479109,0.792834891,0.291044776,0.409768474,0.510456274,0.44795539,0.363748459,0.363748459,0.536,0.133333333,0.071428571,0.557283142,0.654205607,0.340184995,0.654205607,0.340184995,0.358585859
0,1,1,0.703718407,0.296296296,0.296657382,0.295950156,1,0.710593086,0.059410646,0.689591078,0.876284423,0.876284423,0.68,0.4,0.285714286,0.232405892,0.884735202,1,0.884735202,1,0.429292929
0.666666667,0.524855491,0.524855491,0.11062591,0.888888889,0.889972145,0.8894081,0.417910448,0.240405963,0.418250951,0.468401487,0.739827374,0.739827374,0.554666667,0.066666667,0,0.519639935,0.61682243,0.416238438,0.61682243,0.416238438,0.247474747
0.376623377,0.514450867,0.514450867,0.396850602,0.603174603,0.603064067,0.604361371,0.291044776,0.331113225,0.418250951,0.74535316,0.32757912,0.32757912,0.314666667,0.4,0.285714286,0.519639935,0.404984424,0.416238438,0.404984424,0.416238438,0.525252525
0,0.12716763,0.12716763,0.570596798,0.42989418,0.430362117,0.429906542,0.067164179,0.52378687,1,0.864312268,0.143855323,0.143855323,0.165333333,0.533333333,0.571428571,1,0.23364486,0,0.23364486,0,0.984848485
0.207792208,0.329479769,0.329479769,0.575228265,0.424603175,0.424791086,0.425233645,0.156716418,0.699968284,0.418250951,0.810408922,0.310727497,0.310727497,0.136,0.8,0.5,0.519639935,0.165109034,0.416238438,0.165109034,0.416238438,0.691919192
0.173160173,0.349132948,0.349132948,0.553526532,0.447089947,0.447075209,0.447040498,0.164179104,0.452426261,0.625475285,0.884758364,0.274558159,0.274558159,0.218666667,0.6,0.571428571,0.725040917,0.286604361,0.229188078,0.286604361,0.229188078,0.712121212
0.333333333,0.413872832,0.413872832,0.23527855,0.764550265,0.764623955,0.764797508,0.223880597,0.447510308,0.625475285,0.481412639,0.136868064,0.136868064,0.456,0.133333333,0.071428571,0.725040917,0.535825545,0.229188078,0.535825545,0.229188078,0.434343434
